indicator,type,category,severity,brand,ip,ip_country,is_cloudflare,server_fp,favicon_mmh3,registered_at,title,groq_desc,form_labels,registrar,source
buffallowwildswings.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,172.67.183.28,,True,811e0897f489,,2026-05-16,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffalowildswingss.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,188.114.96.3,,True,811e0897f489,-1638754719,2026-05-19,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffalowildvings.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,104.21.34.167,,True,811e0897f489,-1638754719,2026-05-24,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffalowildwinggs.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,104.21.15.35,,True,811e0897f489,-1638754719,2026-05-04,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
burgerkg.com,domain,BRAND_ABUSE,HIGH,Burger King,188.114.96.3,,True,811e0897f489,-1777937903,2026-05-06,Burger King,Spoofed domain of Burger King,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buuffallowildswings.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,188.114.97.3,,True,811e0897f489,,2026-05-17,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
1280betebet.com,domain,CARDING,HIGH,password,104.21.52.112,,True,811e0897f489,-1475838886,2026-03-09,Giriş Yap - BizimSystem,Carding attempt with unclear purpose,password,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bahisgiris.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-13,403 Forbidden,"403 Forbidden error page, potentially a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bahiskorumam.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-13,403 Forbidden,"DDoS protection page, potentially a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bop-main.com,domain,CARDING,HIGH,,149.154.167.99,GB,False,ca88e96cb8a4,1568553410,2026-06-07,Telegram: Join Group Chat,Website related to carding and Telegram group,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bop-videos.com,domain,CARDING,HIGH,,104.21.65.230,,True,811e0897f489,-1823633339,2026-06-04,Telegram: Join Group Chat,Website related to carding and community,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bopaccess.com,domain,CARDING,HIGH,,149.154.167.99,GB,False,ca88e96cb8a4,632307603,2026-06-04,Telegram: Join Group Chat,Website related to carding and Telegram group,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bt-mob.org,domain,CARDING,HIGH,BTMOB,104.21.44.159,,True,811e0897f489,-942440269,2026-05-09,BTMOB Android Family Safety,"Android family monitoring made simple Parents often want a clearer picture of how devices are used during the day. BTMOB gives families a simple dashboard for screen habits, activi",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buyclonecards.bond,domain,CARDING,HIGH,CloneCards,188.114.97.3,,True,fab35a4ec11f,-60067123,2026-05-10,cloned credit cards for sale - Buy clone cards online,,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
engineown.ing,domain,CARDING,HIGH,,193.84.88.162,RU,False,39c203641dfe,,2026-01-02,EngineOwning - Undetected and full-featured cheats,"Offers undetected cheats, potential carding activity",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
eurochoicepharmacy.com,domain,CARDING,HIGH,,92.113.23.77,UA,True,c794b850da31,-364187614,2025-11-15,Home -,Suspicious pharmacy website with potential for carding,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
frostysmm.com,domain,CARDING,HIGH,,91.215.40.10,RU,False,4b8db6e031cc,0,2026-05-05,FrostySMM — Замораживаем конкурентов. Продвигаем тебя в топ.,Carding website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
garantpasport.com,domain,CARDING,HIGH,,188.137.178.202,BH,False,d8c33640a2fc,1058649027,2026-03-24,Хочешь купить паспорт РФ? Сделаем за неделю без предоплаты,Website offering fake passports for sale,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
modafinil-buy-online.com,domain,CARDING,HIGH,,186.2.163.247,NL,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,"Website related to modafinil, possibly a carding website with a DDoS-Guard error",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
modafinil-kaufen-deutschland.com,domain,CARDING,HIGH,,186.2.163.247,NL,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,"Website related to modafinil, possibly a carding website with a DDoS-Guard error",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
modafinilcat.com,domain,CARDING,HIGH,,172.67.138.119,,True,811e0897f489,,2020-09-04,Buy Modafinil Online [No Rx] with Fast Shipping - ModafinilCat,"Website related to modafinil, possibly a carding website with a buy modafinil online section",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
network-access.systems,domain,CARDING,HIGH,,,,False,d8c33640a2fc,,2026-05-13,"Sorry, the website has been stopped",Stopped website with suspicious access,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
onlipravaz.com,domain,CARDING,HIGH,,5.101.66.168,RU,False,d8c33640a2fc,,2026-05-22,Купить права официально ГИБДД,Website for buying official rights,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
pizzalhat.com,domain,CARDING,HIGH,,172.67.170.59,,True,811e0897f489,,2026-06-03,,Carding website with suspicious activity,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
rf-pasport-pokupka.org,domain,CARDING,HIGH,,,,False,d8c33640a2fc,,2026-03-24,Паспорт РФ купить с достакой в Москве и всей России - без предоплаты,Potential carding website selling Russian passports,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaxtaflow.com,domain,CARDING,HIGH,,,,False,4345aa784845,,2026-04-13,Работа охранником вахтой на нефтяном месторождении — 205 000 ₽ за вахту,Job posting for oil rig security,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaxtaservice.com,domain,CARDING,HIGH,,,,False,4345aa784845,,2026-04-13,Требуются водители категории B для работы вахтовым методом,Job posting for drivers,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinoaff.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-17,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinoaff2026.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-17,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinoaffilate2026.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-17,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinoerisim.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-17,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinoerisimi.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-18,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinogir.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-13,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vaycasinogiris27.icu,domain,CARDING,HIGH,Casino,131.222.213.13,US,False,4492f7f3e69c,,2026-05-14,403 Forbidden,"403 Forbidden error, likely a carding or phishing site",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
wiingstops.com,domain,CARDING,HIGH,Wingstop,188.114.96.3,,True,811e0897f489,-144764414,2026-05-06,"Wingstop | Cooked to Order: Flavor Packed Wings, Tenders & More",Impersonating Wingstop's website for carding purposes,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
394823-ledger.com,domain,CRYPTO_DRAIN,HIGH,Ledger,188.114.96.3,,True,811e0897f489,,2026-05-23,,A wallet that protects and puts you in control of your cryptocurrency.,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
alphamegapharmacy.com,domain,CRYPTO_DRAIN,HIGH,,190.115.31.173,BZ,False,4b8db6e031cc,,2025-07-30,DDoS-Guard,Potential cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bastwin.com,domain,CRYPTO_DRAIN,HIGH,Bastwin,104.21.84.105,,False,c7cc5bd0c92d,,2026-04-28,Bastwin: Most Popular Online Crypto Casino Based on Blockchain,"Online crypto casino based on blockchain, potential for cryptocurrency drain",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bazowin781.pro,domain,CRYPTO_DRAIN,HIGH,Bazowin781,104.21.28.200,,True,811e0897f489,-736095526,2026-04-08,Bazowin781: Most Popular Online Crypto Casino Based on Blockchain,"Online crypto casino based on blockchain, potential for cryptocurrency drain",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
beastake.com,domain,CRYPTO_DRAIN,HIGH,Beastake,172.67.141.9,,True,811e0897f489,,2026-03-30,Beastake: Most Popular Online Crypto Casino Based on Blockchain,"Online crypto casino based on blockchain, potential for cryptocurrency drain",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
beastduels.com,domain,CRYPTO_DRAIN,HIGH,Beastduels,188.114.96.3,,True,811e0897f489,-736095526,2026-05-04,Beastduels: Most Popular Online Crypto Casino Based on Blockchain,"Online crypto casino based on blockchain, potential for cryptocurrency drain",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bezowin159.pro,domain,CRYPTO_DRAIN,HIGH,Bezowin,172.67.154.194,,False,c7cc5bd0c92d,-736095526,2026-04-13,Bezowin159: Most Popular Online Crypto Casino Based on Blockchain,Online crypto casino based on blockchain technology.,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
borswin.com,domain,CRYPTO_DRAIN,HIGH,Borswin,172.67.139.22,,True,811e0897f489,-736095526,2026-04-25,Borswin: Most Popular Online Crypto Casino Based on Blockchain,Online crypto casino offering a free reward and exclusive bonus.,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bozawin.com,domain,CRYPTO_DRAIN,HIGH,Bozawin,188.114.96.3,,False,c7cc5bd0c92d,,2026-05-29,Bozawin: Most Popular Online Crypto Casino Based on Blockchain,Online crypto casino based on blockchain technology.,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
caemux.com,domain,CRYPTO_DRAIN,HIGH,Caemux,188.114.97.3,,True,811e0897f489,,2026-06-08,Caemux: Most Popular Online Crypto Casino Based on Blockchain,Online crypto casino based on blockchain,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
cash-casino.app,domain,CRYPTO_DRAIN,HIGH,Cash-casino,104.21.20.57,,True,811e0897f489,-736095526,2026-04-08,Cash-casino: Most Popular Online Crypto Casino Based on Blockchain,Most popular online crypto casino based on blockchain,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycycline-100mg-buy.net,domain,CRYPTO_DRAIN,HIGH,,,,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycycline-hyclate-buy.org,domain,CRYPTO_DRAIN,HIGH,,,,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycycline-hyclate100mg.org,domain,CRYPTO_DRAIN,HIGH,,,,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycycline-hyclatepurchase.com,domain,CRYPTO_DRAIN,HIGH,,190.115.31.173,BZ,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycycline100mg-hyclate.com,domain,CRYPTO_DRAIN,HIGH,,190.115.31.173,BZ,False,4b8db6e031cc,,2025-07-28,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycyclinebuy.info,domain,CRYPTO_DRAIN,HIGH,,190.115.31.173,BZ,False,4b8db6e031cc,,2025-12-16,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
doxycyclinebuyhyclate.net,domain,CRYPTO_DRAIN,HIGH,,190.115.31.173,BZ,False,4b8db6e031cc,,2025-10-31,DDoS-Guard,Website appears to be a cryptocurrency drain or scam,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
dozacoin.com,domain,CRYPTO_DRAIN,HIGH,,188.114.96.3,,True,811e0897f489,,2026-04-19,Just a moment...,Cryptocurrency draining website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
etherexfinance.net,domain,CRYPTO_DRAIN,HIGH,,104.21.18.210,,True,811e0897f489,-590198344,2026-04-16,Etherex Finance — Concentrated Liquidity DEX on Linea,Concentrated liquidity exchange with potential for financial exploitation,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
falcon-finances.org,domain,CRYPTO_DRAIN,HIGH,,188.114.97.3,,True,811e0897f489,,2026-05-22,Falcon Finance — Mint USDf Synthetic Dollar,Mint USDf synthetic dollar,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
fragapi.com,domain,CRYPTO_DRAIN,HIGH,SeedPhrase,193.168.199.218,BG,False,24be2aa9d598,-2009722838,2026-05-02,FragAPI,,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
instasolana.bond,domain,CRYPTO_DRAIN,HIGH,WalletDrainer,,,True,811e0897f489,-736095526,2026-05-28,Instasolana: Most Popular Online Crypto Casino Based on Blockchain,,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
join-vaulto.com,domain,CRYPTO_DRAIN,HIGH,,188.114.96.3,,True,811e0897f489,,2026-04-18,Maintenance,"Unknown purpose, possibly a cryptocurrency drain website.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
newtexcapital.com,domain,CRYPTO_DRAIN,HIGH,,188.114.97.3,,True,811e0897f489,,2026-02-19,Just a moment...,Security verification website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
tectonicfinance.net,domain,CRYPTO_DRAIN,HIGH,tectonicfinance,104.21.7.66,,True,811e0897f489,47200463,2026-04-14,Tectonic Finance | Cross-chain Money Market,Decentralized finance (DeFi) protocol with potential for cryptocurrency drain,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
ubeswap.net,domain,CRYPTO_DRAIN,HIGH,,172.67.211.40,,True,811e0897f489,,2026-05-19,Ubeswap — DeFi Exchange on Celo,Decentralized exchange on Celo,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vandamining.net,domain,CRYPTO_DRAIN,HIGH,,153.92.9.60,ID,False,310865488d64,,2026-01-21,vandamining.net,Cryptocurrency mining website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
vvs-finance.app,domain,CRYPTO_DRAIN,HIGH,VVSFinance,172.67.187.145,,True,811e0897f489,,2026-05-04,VVS Finance — Simple DeFi Trading on Cronos,DeFi trading platform with potential for crypto drain,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
winna-crypto-casino.com,domain,CRYPTO_DRAIN,HIGH,Winna Crypto Casino,,,True,0ab5f121ab0d,,2026-04-29,"Winna Crypto Casino: rakeback, hry a okamžité výběry",Potential crypto drain targeting players,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
bitmixers.net,domain,CRYPTO_MIXER,HIGH,,172.67.215.164,,True,811e0897f489,-1230798092,2026-06-05,Bitcoin Mixers 2026 — BTC Mixers - Best Crypto mixers,"A website offering Bitcoin mixing services, potentially used for illicit activities.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
ffsend.com,domain,CRYPTO_MIXER,HIGH,ffsend,,,True,811e0897f489,,2023-01-07,Fast File Send - Home,"Service for fast file sending, possibly used for cryptocurrency mixing",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
japanopenchains.com,domain,CRYPTO_MIXER,HIGH,,188.114.96.3,,True,811e0897f489,-1156496750,2026-05-13,Just a moment...,"Unknown purpose, possibly a cryptocurrency mixer.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
trading-plus2026.com,domain,CRYPTO_MIXER,HIGH,,104.21.67.102,,True,811e0897f489,,2026-05-23,Website trading-plus2026.com is ready. The content is to be added,"This website is a newly created site with a placeholder message, possibly related to cryptocurrency mixing or other illicit activities.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
whirmix.com,domain,CRYPTO_MIXER,HIGH,,188.114.97.3,,True,811e0897f489,,2025-06-10,Whir Bitcoin Mixer | Whir BTC Blender & Whir Tumbler,Bitcoin mixer website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
aml-tracer.com,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,-77768254,2026-06-04,403 Forbidden,Potential cryptocurrency scam or phishing attempt,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
aresbet-egiris.icu,domain,CRYPTO_SCAM,HIGH,,104.21.51.69,,True,811e0897f489,,2026-06-05,Just a moment...,Website performing security verification with malicious intent,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
aresbet-hepgir.icu,domain,CRYPTO_SCAM,HIGH,,104.21.90.58,,True,811e0897f489,,2026-06-05,Just a moment...,Website performing security verification with malicious intent,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
aster-trade.net,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,,2026-05-08,Aster Trade — Perpetual DEX Trading Platform,Fake cryptocurrency trading platform,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
aura-finance.org,domain,CRYPTO_SCAM,HIGH,,188.114.97.3,,True,811e0897f489,64091843,2026-05-18,Aura Finance — DeFi Yield & Governance Protocol,Fake cryptocurrency finance platform,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
betmeme.net,domain,CRYPTO_SCAM,HIGH,Casino,172.67.177.233,,True,811e0897f489,-736095526,2026-04-19,Betmeme: Most Popular Online Crypto Casino Based on Blockchain,Online crypto casino based on blockchain,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
boostcapexxr.com,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,-1912344756,2026-03-22,Opportunità di mercato sbloccate – Boost Capex Xr,Fake cryptocurrency investment website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
boostdiamoxai.com,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,-1912344756,2026-03-22,Boost Diamox Ai - Opportunità di trading in tempo reale,Fake cryptocurrency investment website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
boostiplexfin.com,domain,CRYPTO_SCAM,HIGH,,188.114.97.3,,True,811e0897f489,-1912344756,2026-03-22,Boost iPlex Fin: Sbloccare il potenziale dei mercati,Fake cryptocurrency investment website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
boostlexipro2u.com,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,-1912344756,2026-03-22,Opportunità di mercato avanzate – Boost Lexipro 2U,Fake cryptocurrency investment website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
cladehub.com,domain,CRYPTO_SCAM,HIGH,,172.67.132.31,,True,811e0897f489,-537930227,2026-05-04,Download Claude | Claude by Anthropic,"Download Claude by Anthropic, suspected scam",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
clipfiofficial.com,domain,CRYPTO_SCAM,HIGH,ClipFi,188.114.97.3,,True,811e0897f489,,2026-03-23,"ClipFi - The Creator Economy, Powered by AI & Crypto","Creator economy platform, suspected scam",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
crypto-beacon.net,domain,CRYPTO_SCAM,HIGH,,62.60.226.89,IR,False,c7d46cc45975,,2026-06-05,Финансовый гид FinAdvisor,Suspicious cryptocurrency-related website with potential scam activity,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
easyswape.org,domain,CRYPTO_SCAM,HIGH,,,,True,0ab5f121ab0d,631673890,2026-01-30,USDT to ETH | Instant Crypto Swap,Cryptocurrency scam website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
ervestiumhungary.com,domain,CRYPTO_SCAM,HIGH,,89.124.81.173,IE,False,c7d46cc45975,,2026-04-09,Attention Required! | Cloudflare,Cloudflare-protected website with suspicious security service,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
espace-ca-pro.com,domain,CRYPTO_SCAM,HIGH,,82.25.113.107,GB,True,811e0897f489,,2026-05-19,Attention Required! | Cloudflare,Cloudflare-protected website with suspicious security service,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
eyeknown-platform.com,domain,CRYPTO_SCAM,HIGH,,104.21.2.179,,True,0ab5f121ab0d,-473546906,2026-05-22,"Eyeknown — Secure Cryptocurrency Exchange | Buy, Sell & Swap Crypto",Secure cryptocurrency exchange,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
faowox.com,domain,CRYPTO_SCAM,HIGH,Casino,188.114.97.3,,True,811e0897f489,-736095526,2026-06-04,Faowox: Most Popular Online Crypto Casino Based on Blockchain,"Most popular online crypto casino based on blockchain, potential scam.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
faufax.com,domain,CRYPTO_SCAM,HIGH,Casino,188.114.97.3,,True,811e0897f489,,2026-06-08,Faufax: Most Popular Online Crypto Casino Based on Blockchain,"Most popular online crypto casino based on blockchain, potential scam.",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
ferro-protocol.com,domain,CRYPTO_SCAM,HIGH,,188.114.96.3,,True,811e0897f489,,2026-04-09,Ferro Protocol | Stablecoin DEX on Cronos,Suspicious cryptocurrency-related scam website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
ferro-protocol.net,domain,CRYPTO_SCAM,HIGH,,188.114.97.3,,True,811e0897f489,2024416091,2026-04-14,Ferro Protocol | Decentralized Stable Swap,Suspicious cryptocurrency-related scam website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
