domain,registrar,registered_at,expiring_at,emails,phones,ip,ip_country,status_code,page_type,final_url,server,server_fp,is_cloudflare,favicon_mmh3,body_simhash,parking_service,title,h1,meta_desc,body_text_500,lang,form_count,field_types,form_labels,captcha,screenshot,threat_hits,threat_sources,threat_types,ti_max_severity,category,severity,severity_label,brand,notes,groq_desc,ip_asn
buffallowildswlng.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-20,2027-05-20,,,172.67.177.84,US,200,active_content,https://buffallowildswlng.com/,cloudflare,811e0897f489,True,-1638754719,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffallowildswlng.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489; fav:-1638754719,Spoofed domain of Buffalo Wild Wings,AS13335
buffallowildswlngs.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-19,2027-05-19,,,104.21.70.45,US,200,active_content,https://buffallowildswlngs.com,cloudflare,811e0897f489,True,,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffallowildswlngs.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489,Spoofed domain of Buffalo Wild Wings,AS13335
buffallowilldswing.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-20,2027-05-20,,,188.114.96.3,US,200,active_content,https://buffallowilldswing.com/,cloudflare,811e0897f489,True,-1638754719,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffallowilldswing.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489; fav:-1638754719,Spoofed domain of Buffalo Wild Wings,AS13335
buffallowwildswings.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-16,2027-05-16,,,172.67.183.28,US,200,active_content,https://buffallowwildswings.com,cloudflare,811e0897f489,True,,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffallowwildswings.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489,Spoofed domain of Buffalo Wild Wings,AS13335
buffalowildswingss.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-19,2027-05-19,,,188.114.96.3,US,200,active_content,https://buffalowildswingss.com,cloudflare,811e0897f489,True,-1638754719,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffalowildswingss.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489; fav:-1638754719,Spoofed domain of Buffalo Wild Wings,AS13335
buffalowildvings.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-24,2027-05-24,,,104.21.34.167,US,200,active_content,https://buffalowildvings.com/,cloudflare,811e0897f489,True,-1638754719,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI, NY, OR & WA markets. Tax & fees (including service) extra. May not be combined with any other discounts or offers. TM & © 2026 Buffalo Wild Wings, Inc.BackORDER N",en,,,,,screenshots/buffalowildvings.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489; fav:-1638754719,Spoofed domain of Buffalo Wild Wings,AS13335
buffalowildwinggs.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-04,2027-05-04,,,104.21.15.35,US,200,active_content,https://buffalowildwinggs.com,cloudflare,811e0897f489,True,-1638754719,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buffalowildwinggs.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489; fav:-1638754719,Spoofed domain of Buffalo Wild Wings,AS13335
burgerkg.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,188.114.96.3,US,200,active_content,https://burgerkg.com/,cloudflare,811e0897f489,True,-1777937903,5b2150062c4c0ce7,,Burger King,,,"View CartHomeMenuMy CodeOffersRewards This website uses cookies to enhance user experience and to analyze performance and traffic on our website. We also share information about your use of our site with our social media, advertising and analytics partners. Select Cookie Settings for more information. By accessing or continuing to use our site, you agree to our Terms of Service and our Privacy Policy, which may impact certain important rights.Cookies Settings Your Opt-Out Preference Signal is",en,,,,,screenshots/burgerkg.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Burger King,srv_fp:811e0897f489; fav:-1777937903,Spoofed domain of Burger King,AS13335
buuffallowildswings.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-17,2027-05-17,,,188.114.97.3,US,200,active_content,https://buuffallowildswings.com,cloudflare,811e0897f489,True,,99b09e6bf944068e,,Buffalo Wild Wings | Wings. Beer. Sports,,"Enjoy all Buffalo Wild Wings to you has to offer when you order delivery, pick it up yourself or dine at a location near you. Buffalo Wild Wings is the ultimate place to gather with friends, watch spo","skip to main contentJOIN BUFFALO WILD WINGS REWARDSJoin now to earn points on every order, shop our exclusive merch store and get more insider offers. Already a member? Sign InJOIN NOWMATCHDAY DEALPICK 6 MEAL FOR 2In just a few days, you can catch all the soccer matches and enjoy the Pick 6 Meal for Two—2 entrees + 2 sides + 2 drinks from $19.99! View DetailsLegal terms and conditionsAt participating Locations for a limited time. Menu Items may vary by location. Price may be higher in AK, CA, HI",en,,,,,screenshots/buuffallowildswings.com.jpg,0,,,0,BRAND_ABUSE,3,HIGH,Buffalo Wild Wings,srv_fp:811e0897f489,Spoofed domain of Buffalo Wild Wings,AS13335
1280betebet.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-09,2027-03-09,,,104.21.52.112,US,200,low_content,https://1280betebet.com/giris-yap,cloudflare,811e0897f489,True,-1475838886,af4e60890d0f9449,,Giriş Yap - BizimSystem,,,Yönetim Paneli Kullanıcı adı ve şifreniz ile güvenli giriş yapabilirsiniz. Kullanıcı Adı Şifre Giriş Yap,tr,1,"text:username, password:password",password,,screenshots/1280betebet.com.jpg,0,,,0,CARDING,3,HIGH,password,srv_fp:811e0897f489; fav:-1475838886,Carding attempt with unclear purpose,AS13335
bahisgiris.icu,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,131.222.213.13,US,403,empty,https://bahisgiris.icu,LiteSpeed,4492f7f3e69c,False,,f3bc8ec13c3d1b8d,,403 Forbidden,,,,,,,,,,0,,,0,CARDING,3,HIGH,Casino,srv_fp:4492f7f3e69c,"403 Forbidden error page, potentially a carding or phishing site",
bahiskorumam.icu,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,131.222.213.13,US,403,empty,https://bahiskorumam.icu,LiteSpeed,4492f7f3e69c,False,,f3bc8ec13c3d1b8d,,403 Forbidden,,,,,,,,,,0,,,0,CARDING,3,HIGH,Casino,srv_fp:4492f7f3e69c,"DDoS protection page, potentially a carding or phishing site",
bop-main.com,Fewmoretaps OU d/b/a Trustname.com,2026-06-07,2027-06-07,,,149.154.167.99,GB,200,redirect_external,https://t.me/+v2TFbWGW-AFkYTJh,nginx/1.30.1,ca88e96cb8a4,False,1568553410,7ee89c952ee5a861,,Telegram: Join Group Chat,,,"Download Pervy 16 376 subscribers 19,241 members Join Channel You are invited to the channel Pervy. Click above to join.",,,,,,screenshots/bop-main.com.jpg,0,,,0,CARDING,3,HIGH,,srv_fp:ca88e96cb8a4; fav:1568553410,Website related to carding and Telegram group,
bop-videos.com,Fewmoretaps OU d/b/a Trustname.com,2026-06-04,2027-06-04,,,104.21.65.230,US,200,redirect_external,https://invite.bopaccess.com/?opt_data===QPwgkT5VkaPlWSqNWa3NlT2k0UNlnSDxUaVJzYxkzRTdWQzI2QKl2TpV1VihWNtl0cJNlY25UbMpnTYplaOdVW3lTbZVXTzMGbOJTWopUaPlGNXFGaxIjYrp0QMl3ZE5kMRpnTysGRNh3Z65EevpWS6ZVbjBnQIVGbKlXZ,cloudflare,811e0897f489,True,-1823633339,cf63d81f645389de,,Telegram: Join Group Chat,,,"Download Pervy 16 376 subscribers 19,241 members Join Channel You are invited to the channel Pervy. Click above to join.",,,,,,screenshots/bop-videos.com.jpg,0,,,0,CARDING,3,HIGH,,srv_fp:811e0897f489; fav:-1823633339,Website related to carding and community,AS13335
bopaccess.com,Fewmoretaps OU d/b/a Trustname.com,2026-06-04,2027-06-04,,,149.154.167.99,GB,200,redirect_external,https://t.me/+v2TFbWGW-AFkYTJh,nginx/1.30.1,ca88e96cb8a4,False,632307603,7ee89c952ee5a861,,Telegram: Join Group Chat,,,"Download Pervy 16 376 subscribers 19,241 members Join Channel You are invited to the channel Pervy. Click above to join.",,,,,,screenshots/bopaccess.com.jpg,0,,,0,CARDING,3,HIGH,,srv_fp:ca88e96cb8a4; fav:632307603,Website related to carding and Telegram group,
bt-mob.org,Fewmoretaps OU d/b/a Trustname.com,2026-05-09,2027-05-09,,,104.21.44.159,US,200,active_content,https://bt-mob.org/,cloudflare,811e0897f489,True,-942440269,820b381a97119bfe,,BTMOB Android Family Safety,Android family monitoring made simple,"BTMOB helps families manage Android device activity, screen habits, and online safety with a simple cloud dashboard.","Android family monitoring made simple Parents often want a clearer picture of how devices are used during the day. BTMOB gives families a simple dashboard for screen habits, activity summaries, and device safety tools without creating a complicated setup process. View Features | 接触 Learn More Family Dashboard Daily Screen Time 4h 22m active today Application Overview Review usage patterns and recent activity from connected Android devices. Location Updates Receive recent location notifications a",en,,,,,screenshots/bt-mob.org.jpg,0,,,0,CARDING,3,HIGH,BTMOB,srv_fp:811e0897f489; fav:-942440269,"Android family monitoring made simple Parents often want a clearer picture of how devices are used during the day. BTMOB gives families a simple dashboard for screen habits, activi",AS13335
buyclonecards.bond,Fewmoretaps OU d/b/a Trustname.com,2026-05-10,2027-05-10,,,188.114.97.3,US,200,active_with_forms,https://buyclonecards.bond,cloudflare,fab35a4ec11f,True,-60067123,8a33181354ed0f5c,,cloned credit cards for sale - Buy clone cards online,Buy Cloned Cards Online,"Buy clone cards online discreetly, undetectable counterfeit notes, & secure bank transfer services. Global shipping, 24/7 support, and com","Skip to content Book a Consultation 🛡️ Escrow Protection Available Every transaction secured end-to-end Verified ⚡ Swift, Safe & Secured Payments Settlements in under 2 seconds 🎁 Get $25 Welcome Bonus On your first transaction today New Support Get Money Transfer → ✓ Secure Global Payment Platform Buy Cloned Cards Online When searching for a reliable source to buy clone cards online, trust and discretion are paramount. At buyclonecards.bond, we pride ourselves on being the leading provider of hi",en-US,,,,,screenshots/buyclonecards.bond.jpg,0,,,0,CARDING,3,HIGH,CloneCards,srv_fp:fab35a4ec11f; fav:-60067123,,AS13335
engineown.ing,Fewmoretaps OU d/b/a Trustname.com,2026-01-02,2036-01-02,shop@engineowning.su,,193.84.88.162,RU,200,redirect_external,https://www.engineowning.su/shop/,193.84.88.162,39c203641dfe,False,,d1a48a1f23295c87,,EngineOwning - Undetected and full-featured cheats,EngineOwning - High quality cheats,"EngineOwning - High quality Cheats for Call of Duty, Counter-Strike, Battlefield and more featuring Aimbots and Wallhacks","EngineOwning - High quality cheats EngineOwning offers cheat software for different multiplayer games.We believe that everyone should have the ability to win and enjoy online matches. ⚠️ Shop and Forum Migration Notice 🚀 New EngineOwning coming soon! EngineOwning is relaunching soon. We are currently migrating to a brand-new shop and platform with a better experience, more features, and improved performance. Any active and frozen subscriptions will be carried over automatically. Stay tuned for m",en,,,,,screenshots/engineown.ing.jpg,0,,,0,CARDING,3,HIGH,,srv_fp:39c203641dfe,"Offers undetected cheats, potential carding activity",
