domain,registrar,registered_at,expiring_at,emails,phones,ip,ip_country,status_code,page_type,final_url,server,server_fp,is_cloudflare,favicon_mmh3,body_simhash,parking_service,title,h1,meta_desc,body_text_500,lang,form_count,field_types,form_labels,captcha,screenshot,threat_hits,threat_sources,threat_types,ti_max_severity,category,severity,severity_label,brand,notes,groq_desc,ip_asn
posh-step.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-16,2027-05-16,,,188.114.96.3,US,403,active_content,https://posh-step.com,cloudflare,811e0897f489,True,,c3af94b52842d8d4,,Just a moment...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking page,AS13335
poshmark-regulation.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,188.114.96.3,US,403,active_content,http://poshmark-regulation.com,cloudflare,811e0897f489,True,,832f9c81ad46c8c4,,Just a moment...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking page,AS13335
powerequipmentsale.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-08,2027-05-08,,,188.114.97.3,US,200,empty,https://powerequipmentsale.com,nginx,d8c33640a2fc,False,,894170e9452df9aa,,Index of /,Index of /,,Index of / NameLast modifiedSizeDescription,,,,,,screenshots/powerequipmentsale.com.png,0,,,0,PARKING,1,LOW,,srv_fp:d8c33640a2fc,Domain parking page,AS13335
ppumpe.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-26,2027-03-26,,,188.114.97.3,US,403,low_content,https://ppumpe.com,cloudflare,811e0897f489,True,,c62f52d39f51ba8d,,Account disabled by server administrator,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking page,AS13335
pr14ft2.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-12,2027-05-12,,,188.114.96.3,US,403,low_content,https://pr14ft2.com,cloudflare,811e0897f489,True,,ecf6b1c6ae51cd85,,Suspected Phishing | Cloudflare,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking page,AS13335
shield-triust.icu,Fewmoretaps OU d/b/a Trustname.com,2026-05-29,2027-05-29,,,188.114.97.3,US,403,empty,https://shield-triust.icu,Apache,310865488d64,False,,b9a0b241008db397,,403 Forbidden,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:310865488d64,"403 Forbidden error, possibly a parked domain",AS13335
shinywilds-fr1.com,Fewmoretaps OU d/b/a Trustname.com,2026-01-16,2027-01-16,,,,,200,active_content,https://shinywilds-fr1.com,cloudflare,811e0897f489,True,,e6a1b481a4d74be9,,Shiny Wilds Casino France : Inscription & Connexion,Casino Shiny Wilds en Ligne,🎰 Plongez dans les jeux captivants chez Shiny Wilds! Éclatez-vous avec nos jeux de casino 🔥 et profitez d'une expérience mobile exceptionnelle 💎,"Casino Shiny Wilds en LigneInscription bonus 1000€ + 250 Free Spins4.8/ 5Approuvé par des milliers d'utilisateursCommencez à jouerShiny Wilds est le choix idéal pour les amateurs de jeux d’argent en ligne en France. Avec des années d’expérience et une communauté de joueurs fidèles, Shiny Wilds offre une vaste gamme de jeux de casino, y compris des machines à sous captivantes, adaptées à tous les goûts. Grâce à ses généreux bonus et promotions, les joueurs peuvent maximiser leurs gains tout en pr",fr-FR,,,,,screenshots/shinywilds-fr1.com.png,0,,,0,PARKING,1,LOW,Shiny Wilds,srv_fp:811e0897f489,Possible parked domain with Shiny Wilds branding,
simsinos-casino-fr1.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-17,2027-04-17,,,188.114.96.3,US,200,active_content,https://simsinos-casino-fr1.com,cloudflare,0ab5f121ab0d,True,-344097848,88a5c587b873a251,,"Simsinos Casino : Bonus, Jeux et Inscription en France",Simsinos Casino — votre nouvelle adresse de jeu en ligne en France,"Simsinos Casino — plateforme de jeu en ligne pour les joueurs français avec bonus de bienvenue, machines à sous, live casino et paiements sécurisés. Inscrivez-vous dès maintenant.","150 % jusqu’à 500 € + 50 tours gratuitsPack de bienvenueS’inscrireSimsinos Casino — votre nouvelle adresse de jeu en ligne en FranceSimsinos Casino s'impose comme une plateforme moderne dédiée aux joueurs français, avec un large catalogue de machines à sous, des bonus attractifs et un environnement sécurisé. Le site combine fluidité, design soigné et accès mobile complet. Profitez de promotions régulières, d'un support client réactif et lancez votre première session sur Simsinos Casino dès maint",fr-FR,,,,,screenshots/simsinos-casino-fr1.com.png,0,,,0,PARKING,1,LOW,Simsinos,srv_fp:0ab5f121ab0d; fav:-344097848,Possible parked domain with Simsinos branding,AS13335
simsinos-casino-fr2.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-29,2027-04-29,,,188.114.97.3,US,200,active_content,https://simsinos-casino-fr2.com,cloudflare,0ab5f121ab0d,True,,88a5c587b873a251,,"Simsinos Casino : Bonus, Jeux et Inscription en France",Simsinos Casino — votre nouvelle adresse de jeu en ligne en France,"Simsinos Casino — plateforme de jeu en ligne pour les joueurs français avec bonus de bienvenue, machines à sous, live casino et paiements sécurisés. Inscrivez-vous dès maintenant.","150 % jusqu’à 500 € + 50 tours gratuitsPack de bienvenueS’inscrireSimsinos Casino — votre nouvelle adresse de jeu en ligne en FranceSimsinos Casino s'impose comme une plateforme moderne dédiée aux joueurs français, avec un large catalogue de machines à sous, des bonus attractifs et un environnement sécurisé. Le site combine fluidité, design soigné et accès mobile complet. Profitez de promotions régulières, d'un support client réactif et lancez votre première session sur Simsinos Casino dès maint",fr-FR,,,,,screenshots/simsinos-casino-fr2.com.png,0,,,0,PARKING,1,LOW,Simsinos,srv_fp:0ab5f121ab0d,Possible parked domain with Simsinos branding,AS13335
smwresource.net,Fewmoretaps OU d/b/a Trustname.com,2026-03-06,2027-03-06,,,188.114.97.3,US,200,empty,http://smwresource.net,cloudflare,811e0897f489,True,,3953004613040640,,Default Page,,,Default Page,,,,,,screenshots/smwresource.net.png,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking site with no content,AS13335
sncglobalgroup.net,Fewmoretaps OU d/b/a Trustname.com,2026-01-11,2027-01-11,,,,,200,active_content,https://sncglobalgroup.net,nginx,d8c33640a2fc,False,,0b7754d42b5091f4,,sncglobalgroup.net,Blog,,"Skip to content Blog Hello world! Welcome to WordPress. This is your first post. Edit or delete it, then start writing! January 23, 2026",en-US,,,,,screenshots/sncglobalgroup.net.png,0,,,0,PARKING,1,LOW,,srv_fp:d8c33640a2fc,Domain parking site with no content,
squidbridge.com,Fewmoretaps OU d/b/a Trustname.com,2026-01-15,2027-01-15,,,46.202.142.142,UA,200,parking,https://www.hugedomains.com/domain_profile.cfm?d=squidbridge.com,cloudflare,f1fd27745c90,True,,b6e4a96729655d85,godaddy,SquidBridge.com is for sale | HugeDomains,,,,,,,,recaptcha,screenshots/squidbridge.com.png,0,,,0,PARKING,1,LOW,,srv_fp:f1fd27745c90; parked:godaddy; captcha:recaptcha,Domain for sale,
transporteflex.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-17,2027-03-17,,,104.21.2.33,US,200,default_server,http://transporteflex.com,cloudflare,df20d54e11a2,True,,bce931d538f55fa1,,Web Server's Default Page,Web Server's Default Page,,"What is Plesk Plesk is a hosting control panel with simple and secure web server, website and web apps management tools. It is specially designed to help web professionals manage web, DNS, mail and other services through a comprehensive and user-friendly GUI. Plesk is about intelligently managing servers, apps, websites and hosting businesses, on both traditional and cloud hosting. Try Online Demo Plesk Guides Knowledge Base Forum Developer Blog Video Guides Facebook",en,,,,,screenshots/transporteflex.com.png,0,,,0,PARKING,1,LOW,,srv_fp:df20d54e11a2,"This website is a default page, possibly a parked domain or under construction.",AS13335
vertexpropertiesestate.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,91.121.56.51,FR,200,empty,https://vertexpropertiesestate.com,nginx,d8c33640a2fc,False,-1987640518,eba498cd23ccc440,,Главная | Vertex Properties,REAL ESTATE RENTAL CONSTRUCTION IN DUBAI,,"Real Estate Rental Construction in Dubai 12+ years of experience 40+ properties under management 8–12% rental yield 0% income tax What We Do What We Do Vertex Properties works in Dubai real estate: we select investment properties, support transactions, and assist with rental and property management. We evaluate projects based on location, developer reliability, liquidity, and potential returns, so clients understand not only the entry price but also the long-term prospects of the asset after pur",ru,,,,,screenshots/vertexpropertiesestate.com.png,0,,,0,PARKING,1,LOW,,srv_fp:d8c33640a2fc; fav:-1987640518,Domain parking,
waagent.net,Fewmoretaps OU d/b/a Trustname.com,2025-12-01,2026-12-01,,,104.21.40.57,US,403,redirect_external,https://waagent.net,cloudflare,811e0897f489,True,,c2af9891ac46c895,,Just a moment...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Under construction or parked domain,AS13335
z73g24a.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-05,2027-05-05,,,104.21.31.162,US,403,low_content,https://z73g24a.com,cloudflare,811e0897f489,True,,6cfeb9c6af69cd85,,Suspected Phishing | Cloudflare,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,"404 error page, likely a parked domain",AS13335
zeitungallesbild.org,Fewmoretaps OU d/b/a Trustname.com,2025-12-22,2026-12-22,,,203.161.56.227,US,200,active_content,https://zeitungallesbild.org,openresty,c7d46cc45975,False,,e6a0f485b46548e3,,Redirecting...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:c7d46cc45975,"Redirecting page, likely a parked domain",
0608-01.org,Fewmoretaps OU d/b/a Trustname.com,2025-08-06,2026-08-06,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
0support-resetverif.help,Fewmoretaps OU d/b/a Trustname.com,2026-05-08,2027-05-08,,,2.27.12.179,GB,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
100mgdoxycyclinebuy.info,Fewmoretaps OU d/b/a Trustname.com,2025-07-28,2026-07-28,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
100nodeposit-bonus.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-04,2027-03-04,,,104.21.9.7,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
100pokiesbonus.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-22,2027-05-22,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1017-coinbase.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-22,2027-05-22,,,104.21.22.173,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1065virusbettr.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-01,2027-05-01,,,104.21.85.98,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
10678marsbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-07,2027-05-07,,,188.114.97.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
10680marsbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,188.114.96.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1068virusbettr.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-17,2027-05-17,,,188.114.96.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
10signupbonus.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-22,2027-05-22,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1119nakitbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-26,2027-04-26,,,172.67.186.157,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1164marsbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-17,2027-04-17,,,172.67.206.217,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1236marsbahis.cam,Fewmoretaps OU d/b/a Trustname.com,2026-05-31,2027-05-31,,,104.21.43.34,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1237holiganbet.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-15,2027-04-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1241mobilbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-08,2027-03-08,,,172.67.186.204,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1261mobilbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-26,2027-04-26,,,188.114.97.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1263mobilbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-30,2027-04-30,,,185.95.159.5,BG,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1265mobilbahis.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-05,2027-05-05,,,185.95.159.5,BG,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1283bet10.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-10,2027-03-10,,,188.114.96.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1323bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-21,2027-03-21,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1331bets10giris.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1334bets10-adresi.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-09,2027-04-09,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1334bets10-guncel.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-11,2027-04-11,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1334bets10live.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-04,2027-05-04,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1334bets10orjinal.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1334trbets10.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-27,2027-03-27,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1335bets10resmi.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-19,2027-04-19,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1335bets10tr-giris.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-20,2027-03-20,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1335vdcasino.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,188.114.96.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1336bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-10,2027-03-10,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1337bets10-erisim.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-11,2027-04-11,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1337bets10orjinal.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-28,2027-03-28,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1337bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-10,2027-03-10,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1338bets10orjinal.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-19,2027-04-19,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1338bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-13,2027-03-13,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1338vdcasino.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-14,2027-05-14,,,188.114.97.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1339bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-11,2027-03-11,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1339mbets10.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-08,2027-03-08,,,104.21.64.76,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1342vdcasino.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-22,2027-05-22,,,188.114.96.3,US,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,AS13335
1343bets10guncel.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1351bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1352bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1353bets10giris.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1354bets10guncel.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1355bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1356bets10-resmi.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-16,2027-03-16,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1356bets10hizli.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-20,2027-04-20,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1357bets10-online.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-20,2027-04-20,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1364bets10canli.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-11,2027-05-11,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1365bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-21,2027-03-21,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1382bets10-orjinal.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-16,2027-05-16,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1386bets10-orjinal.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-25,2027-04-25,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1386bets10girisi.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-22,2027-04-22,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1387bets10resmi.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-22,2027-04-22,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1404bets10-giris.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-23,2027-04-23,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1421bets10-resmi.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-05,2027-05-05,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1423bets10canli.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-17,2027-05-17,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1434bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-11,2027-03-11,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1434bets10vip.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-15,2027-05-15,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1437bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-12,2027-03-12,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1443bets10-casino.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-09,2027-04-09,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1443bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-27,2027-03-27,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1445bets10girisi.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-19,2027-04-19,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1446bets10casino.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-19,2027-04-19,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1447bets10tr.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-12,2027-03-12,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1448bets10tr-guncel.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-22,2027-03-22,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1471bets10tr-giris.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-23,2027-03-23,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
1474bets10-casino.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-30,2027-03-30,,,,,,dead,,,,False,,,,,,,,,,,,,,0,,,0,DEAD,0,INFO,,,,
